plataforma,titulo,anio,metacritic,portada
PlayStation 5,Demon's Souls (Remake),2020,92,https://upload.wikimedia.org/wikipedia/en/9/90/Demons_Souls_Remake.jpg
PlayStation 5,Ratchet & Clank: Rift Apart,2021,88,https://upload.wikimedia.org/wikipedia/en/3/34/Ratchet_and_Clank_Rift_Apart.jpg
PlayStation 5,Returnal,2021,86,https://upload.wikimedia.org/wikipedia/en/7/7c/Returnal_Cover.jpg
PlayStation 5,God of War Ragnarök,2022,94,https://upload.wikimedia.org/wikipedia/en/4/44/God_of_War_Ragnarok.jpg
PlayStation 5,Marvel's Spider-Man 2,2023,90,https://upload.wikimedia.org/wikipedia/en/6/60/Spider-Man_2_%28Insomniac%29_cover.jpg
PlayStation 5,Final Fantasy XVI,2023,88,https://upload.wikimedia.org/wikipedia/en/5/5e/Final_Fantasy_XVI.jpg
PlayStation 5,Horizon Forbidden West,2022,88,https://upload.wikimedia.org/wikipedia/en/9/9e/Horizon_Forbidden_West.jpg
PlayStation 5,Resident Evil 4 Remake,2023,93,https://upload.wikimedia.org/wikipedia/en/4/4f/Resident_Evil_4_Remake.jpg
PlayStation 5,Elden Ring,2022,96,https://upload.wikimedia.org/wikipedia/en/9/9d/Elden_Ring_cover_art.jpg
PlayStation 5,Astro's Playroom,2020,90,https://upload.wikimedia.org/wikipedia/en/1/10/Astro%27s_Playroom.jpg
Xbox Series X,Elden Ring,2022,96,https://upload.wikimedia.org/wikipedia/en/9/9d/Elden_Ring_cover_art.jpg
Xbox Series X,The Witcher 3: Wild Hunt – Complete Edition,2015,94,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
Xbox Series X,Forza Horizon 5,2021,92,https://upload.wikimedia.org/wikipedia/en/0/0a/Forza_Horizon_5_cover.jpg
Xbox Series X,Halo Infinite,2021,87,https://upload.wikimedia.org/wikipedia/en/5/51/Halo_Infinite.png
Xbox Series X,Senua’s Saga: Hellblade II,2024,REPLACE_WITH_METACRITIC,https://upload.wikimedia.org/wikipedia/en/REPLACE_WITH_IMAGE_HELLBLADE_II.jpg
Xbox Series X,Psychonauts 2,2021,87,https://upload.wikimedia.org/wikipedia/en/5/55/Psychonauts_2.jpg
Xbox Series X,Starfield,2023,83,https://upload.wikimedia.org/wikipedia/en/e/e3/Starfield_cover.jpg
Xbox Series X,Sea of Thieves,2018,79,https://upload.wikimedia.org/wikipedia/en/8/8d/Sea_of_Thieves_cover.jpg
Xbox Series X,Forza Motorsport 7,2017,REPLACE_WITH_METACRITIC,https://upload.wikimedia.org/wikipedia/en/REPLACE_WITH_IMAGE_FORZA_MOTORSPORT_7.jpg
Xbox Series X,Hitman 3,2021,87,https://upload.wikimedia.org/wikipedia/en/9/90/Hitman_3_cover.jpg
PC,Half-Life 2,2004,96,https://upload.wikimedia.org/wikipedia/en/a/a1/Half-Life_2_cover.jpg
PC,The Witcher 3: Wild Hunt,2015,94,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
PC,Counter-Strike: Global Offensive,2012,83,https://upload.wikimedia.org/wikipedia/en/6/6f/CSGO_cover.jpg
PC,StarCraft II,2010,88,https://upload.wikimedia.org/wikipedia/en/3/3e/StarCraft_II_cover.jpg
PC,Diablo II,2000,88,https://upload.wikimedia.org/wikipedia/en/5/5b/Diablo_II_cover.jpg
PC,Portal 2,2011,95,https://upload.wikimedia.org/wikipedia/en/f/f9/Portal2cover.jpg
PC,DOOM (2016),2016,85,https://upload.wikimedia.org/wikipedia/en/5/57/DOOM_%282016%29_cover.jpg
PC,Minecraft,2011,93,https://upload.wikimedia.org/wikipedia/en/5/51/Minecraft_cover.png
PC,Baldur's Gate 3,2023,96,https://upload.wikimedia.org/wikipedia/en/2/23/Baldur%27s_Gate_3_cover.jpg
PC,League of Legends,2009,80,REPLACE_WITH_IMAGE_URL_LEAGUE_OF_LEGENDS
Nintendo Switch,The Legend of Zelda: Breath of the Wild,2017,97,https://upload.wikimedia.org/wikipedia/en/c/ca/The_Legend_of_Zelda_Breath_of_the_Wild.jpg
Nintendo Switch,Super Mario Odyssey,2017,97,https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg
Nintendo Switch,Metroid Dread,2021,88,https://upload.wikimedia.org/wikipedia/en/0/07/Metroid_Dread.jpg
Nintendo Switch,Mario Kart 8 Deluxe,2017,92,https://upload.wikimedia.org/wikipedia/en/0/06/Mario_Kart_8_Deluxe.jpg
Nintendo Switch,Fire Emblem: Three Houses,2019,89,https://upload.wikimedia.org/wikipedia/en/3/31/Fire_Emblem_Three_Houses.jpg
Nintendo Switch,Animal Crossing: New Horizons,2020,90,https://upload.wikimedia.org/wikipedia/en/4/4e/Animal_Crossing_New_Horizons.jpg
Nintendo Switch,Splatoon 3,2022,83,https://upload.wikimedia.org/wikipedia/en/7/7e/Splatoon_3.jpg
Nintendo Switch,Xenoblade Chronicles 3,2022,90,https://upload.wikimedia.org/wikipedia/en/0/0c/Xenoblade_Chronicles_3.jpg
Nintendo Switch,Luigi's Mansion 3,2019,86,https://upload.wikimedia.org/wikipedia/en/3/3b/Luigi%27s_Mansion_3.jpg
Nintendo Switch,The Legend of Zelda: Tears of the Kingdom,2023,96,https://upload.wikimedia.org/wikipedia/en/d/d5/The_Legend_of_Zelda_Tears_of_the_Kingdom.jpg
